empresa,sindicato,tipo,categoria,estado,endereço,bairro,cep,Cidade,email
Empresa 21,Empresa 21,Trabalhador,Categoria 21,*Bahia*: Jeremoabo.,Endereço 21,centro,48.540-000,Jeremoabo/BA,21email@emailfalso.com
Empresa 22,Empresa 22,Trabalhador,Categoria 22,*Rio Grande do Sul*: São Luiz Gonzaga.,Endereço 22,centro,97.800-000,São Luiz Gonzaga/RS,22email@emailfalso.com
Empresa 23,Empresa 23,Trabalhador,Categoria 23,*Mato Grosso*: Paranaíta.,Endereço 23,Centro,78.590-000,Paranaitá/MT,23email@emailfalso.com
Empresa 24,Empresa 24,Trabalhador,Categoria 24,*Mato Grosso*: Campo Verde.,Endereço 24,RECANTO DO BOSQUE II,78.840-000,Campo Verde/MT,24email@emailfalso.com
Empresa 25,Empresa 25,Trabalhador,Categoria 25,*Bahia*: Governador Mangabeira.,Endereço 25,Centro,44.350-000,Governador Mangabeira/BA,25email@emailfalso.com
Empresa 26,Empresa 26,Trabalhador,Categoria 26,"*Paraná*: Clevelândia, Mangueirinha e Mariópolis.",Endereço 26,Centro,85.530-000,Clevelândia/PR,26email@emailfalso.com
Empresa 27,Empresa 27,Trabalhador,Categoria 27,*Santa Catarina*: São Francisco do Sul.,Endereço 27,Água Branca,89.240-000,São Francisco do Sul/SC,27email@emailfalso.com
Empresa 28,Empresa 28,Trabalhador,Categoria 28,*Piauí*: Piripiri.,Endereço 28,CENTRO,64.260-000,Piripiri/PI,28email@emailfalso.com
Empresa 29,Empresa 29,Trabalhador,Categoria 29,*São Paulo*.,Endereço 29,Bela Vista,01.319-000,São Paulo/SP,29email@emailfalso.com
Empresa 30,Empresa 30,Trabalhador,Categoria 30,"*São Paulo*: Anhembi, Arandu, Areiópolis, Avaré, Barra Bonita, Bofete, Botucatu, Cerqueira César, Conchas, Coronel Macedo, Dois Córregos, Fartura, Igaraçu do Tietê, Itaju, Itatinga, Laranjal Paulista, Macatuba, Manduri, Mineiros do Tietê, Pardinho, Pereiras, Piraju, Porangaba, Santa Maria da Serra, São Manuel, Sarutaiá, Taguaí, Taquarituba, Tejupá e Timburi.",Endereço 30,Centro,18.650-000,São Manuel/SP,30email@emailfalso.com
Empresa 31,Empresa 31,Trabalhador,Categoria 31,*Espírito Santo*.,Endereço 31,Santa Luíza,29.045-402,Vitória/ES,31email@emailfalso.com
Empresa 32,Empresa 32,Trabalhador,Categoria 32,*São Paulo*.,Endereço 32,Jardim Planalto,13.468-200,Americana/SP,32email@emailfalso.com
Empresa 33,Empresa 33,Trabalhador,Categoria 33,*Minas Gerais*: Mantena.,Endereço 33,BELA VISTA,35.290-000,Mantena/MG,33email@emailfalso.com
Empresa 34,Empresa 34,Trabalhador,Categoria 34,*Alagoas*.,Endereço 34,Centro,57.020-091,Maceió/AL,34email@emailfalso.com
Empresa 35,Empresa 35,Trabalhador,Categoria 35,*Rio Grande do Sul*: Venâncio Aires.,Endereço 35,CENTRO,95.800-000,Venâncio Aires/RS,35email@emailfalso.com
Empresa 36,Empresa 36,Trabalhador,Categoria 36,,Endereço 36,,,Brasília/DF,36email@emailfalso.com
Empresa 37,Empresa 37,Trabalhador,Categoria 37,*Distrito Federal*.,Endereço 37,Asa Norte,70.040-905,Brasília/DF,37email@emailfalso.com
Empresa 38,Empresa 38,Trabalhador,Categoria 38,*Minas Gerais*: Caratinga.,Endereço 38,Santa Cruz,35.300-181,Caratinga/MG,38email@emailfalso.com
Empresa 39,Empresa 39,Trabalhador,Categoria 39,*Espírito Santo*: São Mateus.,Endereço 39,Boa Vista,29.931-640,São Mateus/ES,39email@emailfalso.com
Empresa 40,Empresa 40,Trabalhador,Categoria 40,"*Alagoas*, *Amapá*, *Amazonas*, *Bahia*, *Ceará*, *Distrito Federal*, *Espírito Santo*, *Goiás*, *Maranhão*, *Mato Grosso*, *Mato Grosso do Sul*, *Minas Gerais*, *Pará*, *Paraíba*, *Paraná*, *Pernambuco*, *Piauí*, *Rio de Janeiro*, *Rio Grande do Norte*, *Rio Grande do Sul*, *Rondônia*, *Roraima*, *Santa Catarina*, *São Paulo*, *Sergipe* e *Tocantins*.",Endereço 40,Asa Sul,70.300-902,Brasília/DF,40email@emailfalso.com
Empresa 41,Empresa 41,Trabalhador,Categoria 41,*Minas Gerais*: Santana do Deserto.,Endereço 41,Centro,36.620-000,Santana do Deserto/MG,41email@emailfalso.com
Empresa 42,Empresa 42,Trabalhador,Categoria 42,*Bahia*: Cícero Dantas.,Endereço 42,CENTRO,48.410-000,Cícero Dantas/BA,42email@emailfalso.com
Empresa 43,Empresa 43,Trabalhador,Categoria 43,*Bahia*: Caém.,Endereço 43,Centro,44.730-000,Caém/BA,43email@emailfalso.com
Empresa 44,Empresa 44,Trabalhador,Categoria 44,*São Paulo*: Orlândia.,Endereço 44,Centro,14.620-000,Orlândia/SP,44email@emailfalso.com
Empresa 45,Empresa 45,Trabalhador,Categoria 45,*Ceará*: Ocara.,Endereço 45,Centro,62.755-000,Ocara/CE,45email@emailfalso.com
Empresa 46,Empresa 46,Trabalhador,Categoria 46,*São Paulo*: Votuporanga.,Endereço 46,San Remo,15.502-105,Votuporanga/SP,46email@emailfalso.com
Empresa 47,Empresa 47,Trabalhador,Categoria 47,*Rio de Janeiro*: Araruama.,Endereço 47,Centro,28.970-000,Araruama/RJ,47email@emailfalso.com
Empresa 48,Empresa 48,Trabalhador,Categoria 48,*Sergipe*.,Endereço 48,São José,49.015-000,Aracaju/SE,48email@emailfalso.com
Empresa 49,Empresa 49,Trabalhador,Categoria 49,*Paraná*: Pérola.,Endereço 49,Centro,87.540-000,Pérola/PR,49email@emailfalso.com
Empresa 50,Empresa 50,Trabalhador,Categoria 50,*Rio de Janeiro*: Macaé.,Endereço 50,Barra,27.973-470,Macaé/RJ,50email@emailfalso.com
Empresa 51,Empresa 51,Trabalhador,Categoria 51,"*Pará*: Afuá, Anajás, Bagre, Breves, Chaves, Curralinho, Gurupá, Melgaço, Muaná, Oeiras do Pará, Ponta de Pedras, Portel, Salvaterra, Santa Cruz do Arari, São Sebastião da Boa Vista e Soure.",Endereço 51,CASTANHEIRA,68.800-000,Breves/PA,51email@emailfalso.com
Empresa 52,Empresa 52,Trabalhador,Categoria 52,*Mato Grosso do Sul*: Pedro Gomes.,Endereço 52,Centro,79.410-000,Pedro Gomes/MS,52email@emailfalso.com
Empresa 53,Empresa 53,Trabalhador,Categoria 53,*Goiás*.,Endereço 53,Setor Bela Vista,74.823-460,Goiânia/GO,53email@emailfalso.com
Empresa 54,Empresa 54,Trabalhador,Categoria 54,*Goiás*.,Endereço 54,Setor Sul,74.080-100,Goiânia/GO,54email@emailfalso.com
Empresa 55,Empresa 55,Trabalhador,Categoria 55,*Minas Gerais*: Pirajuba.,Endereço 55,centro,38.210-000,Pirajuba/MG,55email@emailfalso.com
Empresa 56,Empresa 56,Trabalhador,Categoria 56,*Pará*.,Endereço 56,Souza,66.613-060,Belém/PA,56email@emailfalso.com
Empresa 57,Empresa 57,Trabalhador,Categoria 57,*Paraná*: Londrina.,Endereço 57,Igapó,86.046-280,Londrina/PR,57email@emailfalso.com
Empresa 58,Empresa 58,Trabalhador,Categoria 58,*Rio Grande do Sul*: Redentora.,Endereço 58,Centro,98.550-000,Redentora/RS,58email@emailfalso.com
Empresa 59,Empresa 59,Trabalhador,Categoria 59,*São Paulo*: Jumirim e Tietê.,Endereço 59,Centro,18.530-000,Tietê/SP,59email@emailfalso.com
Empresa 60,Empresa 60,Trabalhador,Categoria 60,"*Paraná*: Antonina, Guaraqueçaba, Guaratuba, Morretes e Paranaguá.",Endereço 60,Costeira,83.203-500,Paranaguá/PR,60email@emailfalso.com
Empresa 61,Empresa 61,Trabalhador,Categoria 61,*São Paulo*: Itaí.,Endereço 61,Centro,18.730-000,Itaí/SP,61email@emailfalso.com
Empresa 62,Empresa 62,Trabalhador,Categoria 62,*Minas Gerais*: Juatuba.,Endereço 62,Cidade Nova II,35.675-000,Juatuba/MG,62email@emailfalso.com
Empresa 63,Empresa 63,Trabalhador,Categoria 63,*Bahia*: Aurelino Leal.,Endereço 63,CENTRO,45.675-000,Aurelino Leal/BA,63email@emailfalso.com
Empresa 64,Empresa 64,Trabalhador,Categoria 64,*Mato Grosso*: Rondonópolis.,Endereço 64,Centro,78.700-090,Rondonópolis/MT,64email@emailfalso.com
Empresa 65,Empresa 65,Trabalhador,Categoria 65,*Minas Gerais*: Unaí.,Endereço 65,Centro,38.610-000,Unaí/MG,65email@emailfalso.com
Empresa 66,Empresa 66,Trabalhador,Categoria 66,*Bahia*: Antônio Gonçalves.,Endereço 66,Centro,44.780-000,Antônio Gonçalves/BA,66email@emailfalso.com
Empresa 67,Empresa 67,Trabalhador,Categoria 67,*Piauí*: São João do Piauí.,Endereço 67,CENTRO,64.760-000,São João do Piauí/PI,67email@emailfalso.com
Empresa 68,Empresa 68,Trabalhador,Categoria 68,*Rio Grande do Sul*: Campinas do Sul.,Endereço 68,CENTRO,99.660-000,Campinas do Sul/RS,68email@emailfalso.com
Empresa 69,Empresa 69,Trabalhador,Categoria 69,*Ceará*: Itaitinga.,Endereço 69,Centro,61.880-000,Itaitinga/CE,69email@emailfalso.com
Empresa 70,Empresa 70,Trabalhador,Categoria 70,*São Paulo*: Batatais.,Endereço 70,Riachuelo,14.300-000,Batatais/SP,70email@emailfalso.com
Empresa 71,Empresa 71,Trabalhador,Categoria 71,*São Paulo*: São João da Boa Vista.,Endereço 71,Centro,13.870-070,São João da Boa Vista/SP,71email@emailfalso.com
Empresa 72,Empresa 72,Trabalhador,Categoria 72,*Pernambuco*: Palmares.,Endereço 72,centro,55.540-000,Palmares/PE,72email@emailfalso.com
Empresa 73,Empresa 73,Trabalhador,Categoria 73,*Ceará*: Itapajé.,Endereço 73,Centro,62.600-000,Itapagé/CE,73email@emailfalso.com
Empresa 74,Empresa 74,Trabalhador,Categoria 74,*Rio Grande do Sul*: Canoas.,Endereço 74,Marechal Rondon,92.020-340,Canoas/RS,74email@emailfalso.com
Empresa 75,Empresa 75,Trabalhador,Categoria 75,*Bahia*: Senhor do Bonfim.,Endereço 75,Centro,48.970-000,Senhor do Bonfim/BA,75email@emailfalso.com
Empresa 76,Empresa 76,Trabalhador,Categoria 76,"*Bahia*, *Distrito Federal* e *Espírito Santo*.",Endereço 76,Asa Sul,70.070-050,Brasília/DF,76email@emailfalso.com
Empresa 77,Empresa 77,Trabalhador,Categoria 77,*Minas Gerais*: Belo Horizonte.,Endereço 77,Centro,30.130-003,Belo Horizonte/MG,77email@emailfalso.com
Empresa 78,Empresa 78,Trabalhador,Categoria 78,*Mato Grosso*.,Endereço 78,Alvorada,78.048-487,Cuiabá/MT,78email@emailfalso.com
Empresa 79,Empresa 79,Trabalhador,Categoria 79,*Minas Gerais*: Cana Verde.,Endereço 79,Centro,37.267-000,Cana Verde/MG,79email@emailfalso.com
Empresa 80,Empresa 80,Trabalhador,Categoria 80,*Rio Grande do Sul*: Santo Ângelo.,Endereço 80,Meller Sul,98.801-630,Santo Ângelo/RS,80email@emailfalso.com
Empresa 81,Empresa 81,Trabalhador,Categoria 81,*Rio Grande do Sul*.,Endereço 81,Centro,90.030-140,Porto Alegre/RS,81email@emailfalso.com
Empresa 82,Empresa 82,Trabalhador,Categoria 82,*Rio Grande do Sul*: Bagé.,Endereço 82,Centro,96.400-040,Bagé/RS,82email@emailfalso.com
Empresa 83,Empresa 83,Trabalhador,Categoria 83,*Rio Grande do Sul*: Farroupilha.,Endereço 83,Centro,95.180-000,Farroupilha/RS,83email@emailfalso.com
Empresa 84,Empresa 84,Trabalhador,Categoria 84,*Rio Grande do Sul*: Santa Maria.,Endereço 84,Centro,97.010-040,Santa Maria/RS,84email@emailfalso.com
Empresa 85,Empresa 85,Trabalhador,Categoria 85,*Rio Grande do Sul*: Santa Rosa.,Endereço 85,centro,98.900-000,Santa Rosa/RS,85email@emailfalso.com
Empresa 86,Empresa 86,Trabalhador,Categoria 86,*Rio Grande do Sul*.,Endereço 86,Centro,90.010-460,Porto Alegre/RS,86email@emailfalso.com
Empresa 87,Empresa 87,Trabalhador,Categoria 87,,Endereço 87,,,Santa Cruz do Sul/RS,87email@emailfalso.com
Empresa 88,Empresa 88,Trabalhador,Categoria 88,*Rio Grande do Sul*: Frederico Westphalen.,Endereço 88,Centro,98.400-000,Frederico Westphalen/RS,88email@emailfalso.com
Empresa 89,Empresa 89,Trabalhador,Categoria 89,*Rio Grande do Sul*: Santo Ângelo.,Endereço 89,Meller Sul,98.801-630,Santo Ângelo/RS,89email@emailfalso.com
Empresa 90,Empresa 90,Trabalhador,Categoria 90,*Rio Grande do Sul*: Itaqui.,Endereço 90,Centro,97.650-000,Itaqui/RS,90email@emailfalso.com
Empresa 91,Empresa 91,Trabalhador,Categoria 91,*Rondônia*.,Endereço 91,Olaria,76.801-230,Porto Velho/RO,91email@emailfalso.com
Empresa 92,Empresa 92,Trabalhador,Categoria 92,*Paraná*: Roncador.,Endereço 92,CENTRO,87.320-000,Roncador/PR,92email@emailfalso.com
Empresa 93,Empresa 93,Trabalhador,Categoria 93,*Rio Grande do Sul*: Ijuí.,Endereço 93,Centro,98.700-000,Ijuí/RS,93email@emailfalso.com
Empresa 94,Empresa 94,Trabalhador,Categoria 94,*Paraná*: Marechal Cândido Rondon.,Endereço 94,CENTRO,85.960-000,Marechal Cândido Rondon/PR,94email@emailfalso.com
Empresa 95,Empresa 95,Trabalhador,Categoria 95,*Minas Gerais*: Francisco Sá.,Endereço 95,São Jorge,39.580-000,Francisco Sá/MG,95email@emailfalso.com
Empresa 96,Empresa 96,Trabalhador,Categoria 96,*Santa Catarina*: Palhoça.,Endereço 96,Passa Vinte,88.132-149,Palhoça/SC,96email@emailfalso.com
Empresa 97,Empresa 97,Trabalhador,Categoria 97,*Espírito Santo*: Mantenópolis.,Endereço 97,CENTRO,29.770-000,Mantenópolis/ES,97email@emailfalso.com
Empresa 98,Empresa 98,Trabalhador,Categoria 98,*Goiás*.,Endereço 98,Setor Sul,74.083-195,Goiânia/GO,98email@emailfalso.com
Empresa 99,Empresa 99,Trabalhador,Categoria 99,*Santa Catarina*: Ituporanga.,Endereço 99,Ceentro,88.400-000,Ituporanga/SC,99email@emailfalso.com
Empresa 100,Empresa 100,Trabalhador,Categoria 100,*Goiás*: Senador Canedo.,Endereço 100,Vila Santa Rosa,75.250-000,Senador Canedo/GO,100email@emailfalso.com
Empresa 101,Empresa 101,Trabalhador,Categoria 101,"*Pernambuco*: Águas Belas, Angelim, Arcoverde, Betânia, Bom Conselho, Brejão, Buíque, Caetés, Calçado, Calumbi, Canhotinho, Capoeiras, Carnaubeira da Penha, Correntes, Custódia, Flores, Floresta, Garanhuns, Iati, Ibimirim, Inajá, Itacuruba, Itaíba, Jatobá, Jucati, Jupi, Lagoa do Ouro, Lajedo, Manari, Palmeirina, Paranatama, Pedra, Petrolândia, Saloá, Santa Cruz da Baixa Verde, São João, São José do Belmonte, Serra Talhada, Sertânia, Tacaratu, Terezinha, Triunfo, Tupanatinga e Venturosa.",Endereço 101,Centro,55.385-000,Lajedo/PE,101email@emailfalso.com
Empresa 102,Empresa 102,Trabalhador,Categoria 102,*Rio Grande do Sul*: Restinga Sêca.,Endereço 102,centro,97.200-000,Restinga Seca/RS,102email@emailfalso.com
Empresa 103,Empresa 103,Trabalhador,Categoria 103,*Paraná*.,Endereço 103,Centro,80.010-000,Curitiba/PR,103email@emailfalso.com
Empresa 104,Empresa 104,Trabalhador,Categoria 104,*Goiás*: Padre Bernardo.,Endereço 104,Centro,73.700-000,Padre Bernardo/GO,104email@emailfalso.com
Empresa 105,Empresa 105,Trabalhador,Categoria 105,"*Minas Gerais*: Alvinópolis, Dom Silvério, João Monlevade e Nova Era.",Endereço 105,Lucília,35.930-250,João Monlevade/MG,105email@emailfalso.com
Empresa 106,Empresa 106,Trabalhador,Categoria 106,*São Paulo*: Embu-Guaçu.,Endereço 106,CENTRO,06.900-000,Embu-Guaçu/SP,106email@emailfalso.com
Empresa 107,Empresa 107,Trabalhador,Categoria 107,*Paraná*: Cascavel.,Endereço 107,Centro,85.812-011,Cascavel/PR,107email@emailfalso.com
Empresa 108,Empresa 108,Trabalhador,Categoria 108,*Sergipe*: Lagarto e Simão Dias.,Endereço 108,,49.400-000,Lagarto/SE,108email@emailfalso.com
Empresa 109,Empresa 109,Trabalhador,Categoria 109,*Rio Grande do Norte*.,Endereço 109,Capim Macio,59.078-130,Natal/RN,109email@emailfalso.com
Empresa 110,Empresa 110,Trabalhador,Categoria 110,*Ceará*: Barbalha.,Endereço 110,rosario,63.180-000,Barbalha/CE,110email@emailfalso.com
Empresa 111,Empresa 111,Trabalhador,Categoria 111,*Espírito Santo*: Afonso Cláudio.,Endereço 111,CENTRO,29.600-000,Afonso Cláudio/ES,111email@emailfalso.com
Empresa 112,Empresa 112,Trabalhador,Categoria 112,*Goiás*: Anápolis.,Endereço 112,Setor Central,75.020-010,Anápolis/GO,112email@emailfalso.com
Empresa 113,Empresa 113,Trabalhador,Categoria 113,*Roraima*.,Endereço 113,Buritis,69.309-189,Boa Vista/RR,113email@emailfalso.com
Empresa 114,Empresa 114,Trabalhador,Categoria 114,*Pernambuco*: Cabo de Santo Agostinho.,Endereço 114,Centro,54.505-240,Cabo de Santo Agostinho/PE,114email@emailfalso.com
Empresa 115,Empresa 115,Trabalhador,Categoria 115,*Pará*.,Endereço 115,São Brás,66.093-000,Belém/PA,115email@emailfalso.com
Empresa 116,Empresa 116,Trabalhador,Categoria 116,*Piauí*.,Endereço 116,Noivos,64.046-040,Teresina/PI,116email@emailfalso.com
Empresa 117,Empresa 117,Trabalhador,Categoria 117,*Pernambuco*: Ribeirão.,Endereço 117,CENTRO,55.520-000,Ribeirão/PE,117email@emailfalso.com
Empresa 118,Empresa 118,Trabalhador,Categoria 118,*Goiás*.,Endereço 118,Setor Leste Universitário,74.610-155,Goiânia/GO,118email@emailfalso.com
Empresa 119,Empresa 119,Trabalhador,Categoria 119,*Mato Grosso do Sul*: Aquidauana.,Endereço 119,Bairro Alto,79.200-000,Aquidauana/MS,119email@emailfalso.com
Empresa 120,Empresa 120,Trabalhador,Categoria 120,*São Paulo*: Caieiras.,Endereço 120,JD. SÃO FRANCISCO,07.700-000,Caieiras/SP,120email@emailfalso.com
Empresa 121,Empresa 121,Trabalhador,Categoria 121,"*São Paulo*: Pilar do Sul, São Miguel Arcanjo, Sarapuí e Tapiraí.",Endereço 121,Jardim Nova Pilar,18.185-000,Pilar do Sul/SP,121email@emailfalso.com
Empresa 122,Empresa 122,Trabalhador,Categoria 122,*Alagoas*: São Miguel dos Campos.,Endereço 122,PARAÍSO,57.240-000,São Miguel dos Campos/AL,122email@emailfalso.com
Empresa 123,Empresa 123,Trabalhador,Categoria 123,"*Ceará*: Abaiara, Acarape, Acaraú, Acopiara, Aiuaba, Alcântaras, Altaneira, Alto Santo, Amontada, Antonina do Norte, Apuiarés, Aquiraz, Aracati, Aracoiaba, Ararendá, Araripe, Aratuba, Arneiroz, Assaré, Aurora, Baixio, Banabuiú, Barbalha, Barreira, Barro, Barroquinha, Baturité, Beberibe, Bela Cruz, Boa Viagem, Brejo Santo, Camocim, Campos Sales, Canindé, Capistrano, Caridade, Cariré, Caririaçu, Cariús, Carnaubal, Cascavel, Catarina, Catunda, Caucaia, Cedro, Chaval, Choró, Chorozinho, Coreaú, Crateús, Crato, Croatá, Cruz, Deputado Irapuan Pinheiro, Ererê, Eusébio, Farias Brito, Forquilha, Fortim, Frecheirinha, General Sampaio, Graça, Granja, Granjeiro, Groaíras, Guaiúba, Guaraciaba do Norte, Guaramiranga, Hidrolândia, Horizonte, Ibaretama, Ibiapina, Ibicuitinga, Icapuí, Icó, Iguatu, Independência, Ipaporanga, Ipaumirim, Ipu, Ipueiras, Iracema, Irauçuba, Itaiçaba, Itaitinga, Itapajé, Itapipoca, Itapiúna, Itarema, Itatira, Jaguaretama, Jaguaribara, Jaguaribe, Jaguaruana, Jardim, Jati, Jijoca de Jericoacoara, Juazeiro do Norte, Jucás, Lavras da Mangabeira, Limoeiro do Norte, Madalena, Maracanaú, Maranguape, Marco, Martinópole, Massapê, Mauriti, Meruoca, Milagres, Milhã, Miraíma, Missão Velha, Mombaça, Monsenhor Tabosa, Morada Nova, Moraújo, Morrinhos, Mucambo, Mulungu, Nova Olinda, Nova Russas, Novo Oriente, Ocara, Orós, Pacajus, Pacatuba, Pacoti, Pacujá, Palhano, Palmácia, Paracuru, Paraipaba, Parambu, Paramoti, Pedra Branca, Penaforte, Pereiro, Pindoretama, Piquet Carneiro, Pires Ferreira, Poranga, Porteiras, Potengi, Potiretama, Quiterianópolis, Quixadá, Quixelô, Quixeramobim, Quixeré, Redenção, Reriutaba, Russas, Saboeiro, Salitre, Santa Quitéria, Santana do Acaraú, Santana do Cariri, São Benedito, São Gonçalo do Amarante, São João do Jaguaribe, São Luís do Curu, Senador Pompeu, Senador Sá, Sobral, Solonópole, Tabuleiro do Norte, Tamboril, Tarrafas, Tauá, Tejuçuoca, Tianguá, Trairi, Tururu, Ubajara, Umari, Umirim, Uruburetama, Uruoca, Varjota, Várzea Alegre e Viçosa do Ceará.",Endereço 123,BULANDEIRA,63.180-000,Barbalha/CE,123email@emailfalso.com
Empresa 124,Empresa 124,Trabalhador,Categoria 124,,Endereço 124,,,Rio de Janeiro/RJ,124email@emailfalso.com
Empresa 125,Empresa 125,Trabalhador,Categoria 125,*Rio Grande do Sul*: Novo Hamburgo.,Endereço 125,Hamburgo Velho,93.510-160,Novo Hamburgo/RS,125email@emailfalso.com
Empresa 126,Empresa 126,Trabalhador,Categoria 126,"*Rio de Janeiro*: Angra dos Reis, Aperibé, Araruama, Areal, Armação dos Búzios, Arraial do Cabo, Barra do Piraí, Barra Mansa, Belford Roxo, Bom Jardim, Bom Jesus do Itabapoana, Cabo Frio, Cachoeiras de Macacu, Cambuci, Campos dos Goytacazes, Cantagalo, Carapebus, Cardoso Moreira, Carmo, Casimiro de Abreu, Comendador Levy Gasparian, Conceição de Macabu, Cordeiro, Duas Barras, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Iguaba Grande, Itaboraí, Itaguaí, Italva, Itaperuna, Itatiaia, Japeri, Laje do Muriaé, Macaé, Macuco, Magé, Mangaratiba, Maricá, Mendes, Mesquita, Miguel Pereira, Miracema, Natividade, Nilópolis, Niterói, Nova Friburgo, Nova Iguaçu, Paracambi, Paraíba do Sul, Paraty, Paty do Alferes, Petrópolis, Pinheiral, Piraí, Porciúncula, Porto Real, Quatis, Queimados, Quissamã, Resende, Rio Bonito, Rio Claro, Rio das Flores, Rio das Ostras, Rio de Janeiro, Santa Maria Madalena, Santo Antônio de Pádua, São Fidélis, São Francisco de Itabapoana, São Gonçalo, São João da Barra, São João de Meriti, São José de Ubá, São José do Vale do Rio Preto, São Pedro da Aldeia, São Sebastião do Alto, Sapucaia, Saquarema, Seropédica, Silva Jardim, Sumidouro, Tanguá, Teresópolis, Trajano de Moraes, Três Rios, Valença, Varre-Sai, Vassouras e Volta Redonda.",Endereço 126,Santo Antônio da Prata,26.130-570,Belford Roxo/RJ,126email@emailfalso.com
Empresa 127,Empresa 127,Trabalhador,Categoria 127,*Acre*.,Endereço 127,Centro,69.900-076,Rio Branco/AC,127email@emailfalso.com
Empresa 128,Empresa 128,Trabalhador,Categoria 128,*Piauí*: Barro Duro.,Endereço 128,Centro,64.455-000,Barro Duro/PI,128email@emailfalso.com
Empresa 129,Empresa 129,Trabalhador,Categoria 129,*Mato Grosso*.,Endereço 129,Morada do Ouro - Setor Centro Sul,78.053-204,Cuiabá/MT,129email@emailfalso.com
Empresa 130,Empresa 130,Trabalhador,Categoria 130,*Alagoas*: Campo Alegre.,Endereço 130,Centro,57.250-000,Campo Alegre/AL,130email@emailfalso.com
